Outcome 1 Result 1b Kaplan-Meier Graph
" "
Generated by TriNetX
" "
" "
Graph Data Table
Time (Days),Cohort 1: Survival Probability,Cohort 1: Survival Probability 95 % CI Lower,Cohort 1: Survival Probability 95 % CI Upper,Cohort 2: Survival Probability,Cohort 2: Survival Probability 95 % CI Lower,Cohort 2: Survival Probability 95 % CI Upper
280,,,,0.39283787727031755,0.36395500625847244,0.4215733372994186
281,0.44724697103525785,0.4181359798316115,0.4759058811124494,,,
282,0.4462768040698886,0.417168761735512,0.47493804595398625,0.3917930956818325,0.3629174174485818,0.4205274562922469
283,0.4462768040698886,0.417168761735512,0.47493804595398625,0.39074552055968864,0.3618770488163883,0.41947879365995877
284,0.4453045234510001,0.41619943724931024,0.47396810404010453,,,
285,0.4443322428321115,0.4152302523789743,0.4729980294208134,0.38969512937538847,0.3608338780521552,0.418427327081653
286,0.4433599622132228,0.4142612071199154,0.47202782208223776,,,
287,0.4423876815943339,0.4132923014695818,0.4710574820086808,0.38969512937538847,0.3608338780521552,0.418427327081653
288,0.441413259388179,0.4123212617219438,0.47008500743631715,0.38969512937538847,0.3608338780521552,0.418427327081653
289,0.441413259388179,0.4123212617219438,0.47008500743631715,0.38969512937538847,0.3608338780521552,0.418427327081653
290,,,,0.38863617521947713,0.35978179491922063,0.41736770358314645
291,0.4404366813806829,0.41134807378237764,0.4691103842635496,0.38863617521947713,0.35978179491922063,0.41736770358314645
292,,,,0.38863617521947713,0.35978179491922063,0.41736770358314645
293,0.4375069473581948,0.4084293630800452,0.4661857042740724,0.3865066619306032,0.3576658829771732,0.41523709098482703
294,0.43554503279605034,0.4064749711915181,0.46422705370755946,0.38329469521095844,0.3544747225210396,0.4120232627017019
295,0.43554503279605034,0.4064749711915181,0.46422705370755946,,,
296,0.43554503279605034,0.4064749711915181,0.46422705370755946,,,
297,0.43554503279605034,0.4064749711915181,0.46422705370755946,0.38221802471879285,0.35340501649094386,0.41094600197643494
298,0.43554503279605034,0.4064749711915181,0.46422705370755946,,,
299,0.4345506377440044,0.40548371480875844,0.463234975051408,,,
300,0.4345506377440044,0.40548371480875844,0.463234975051408,0.38005860085032506,0.3512597701675437,0.40878522375214343
301,0.43155373679404585,0.4024962866432243,0.4602450689911139,,,
302,0.42954651011128286,0.4004955675404603,0.4582423922661812,0.38005860085032506,0.3512597701675437,0.40878522375214343
303,0.42954651011128286,0.4004955675404603,0.4582423922661812,,,
304,,,,0.3789696077246796,0.3501775832539527,0.4076959090268887
305,0.4285358124404326,0.39948790839265724,0.4572342258639735,0.37788061459903394,0.3490956206356358,0.40660638460245885
306,,,,0.37788061459903394,0.3490956206356358,0.40660638460245885
307,0.4285358124404326,0.39948790839265724,0.4572342258639735,,,
308,0.42650001285639255,0.39745774794034855,0.45520401195370264,,,
